Cluster,RA,Dec
1018.8-1211,10 18 46.8,-12 11 53
1059.2-1253,10 59 07.1,-12 53 15
1119.3-1129,11 19 16.7,-11 30 29
1202.7-1224,12 02 43.4,-12 24 30
1232.5-1250,12 32 30.5,-12 50 36
1238.5-1144,12 38 33.0,-11 44 30
1301.7-1139,13 01 40.1,-11 39 23
1353.0-1137,13 53 01.7,-11 37 28
1411.1-1148,14 11 04.6,-11 48 29
1420.3-1236,14 20 20.0,-12 36 30
1037.9-1243,10 37 51.2,-12 43 27
1040.7-1155,10 40 40.4,-11 56 04
1054.4-1146,10 54 24.5,-11 46 20
1054.7-1245,10 54 43.6,-12 45 52
1103.7-1245,11 03 43.4,-12 45 34
1122.9-1136,11 22 51.6,-11 36 32
1138.2-1133,11 38 10.3,-11 33 38
1216.8-1201,12 16 45.1,-12 01 18
1227.9-1138,12 27 58.9,-11 35 13
1354.2-1230,13 54 09.7," -12 31 01"
