No.,Object Name,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B101626.0-115906</a>",154.723333,-12.236000,G,62641,0.208948,SUN,2,0,54,5,1,2,0,0,1,0
2,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B105149.2-113129</a>",163.579583,-11.791250,G,,,,2,0,45,5,0,0,0,0,0,0
3,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B105159.0-113044</a>",163.620333,-11.778556,G,74678,0.249100,UUN,5,0,45,5,1,0,0,0,0,0
4,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B105634.7-123745</a>",164.768333,-12.897306,G,21686,0.072337,SUN,4,0,54,6,2,2,0,0,1,0
5,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B105652.9-123437</a>",164.844167,-12.845306,G,21752,0.072557,SUN,3,0,44,5,2,2,0,0,1,0
6,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B110102.9-122757</a>",165.887083,-12.735139,G,46655,0.155624,SUN,3,0,37,5,1,0,0,0,0,0
7,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B112007.7-112016</a>",170.663333,-11.612056,G,28200,0.094065,SUN,4,0,41,5,1,0,0,0,0,0
8,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B112015.3-112231</a>",170.695000,-11.649583,G,27912,0.093104,SUN,4,0,41,5,1,0,0,0,0,0
9,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B120003.7-120811</a>",180.656250,-12.414917,G,,,,1,0,45,5,0,0,0,0,0,0
10,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B120010.4-120601</a>",180.684167,-12.378889,G,39456,0.131611,SUN,2,0,45,5,1,0,0,0,0,0
11,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B120023.5-120936</a>",180.738750,-12.438611,G,39472,0.131664,SUN,4,0,38,5,1,0,0,0,0,0
12,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B123004.1-123140</a>",188.166250,-12.803472,G,30467,0.101627,SUN,4,0,60,7,1,2,0,0,1,0
13,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B135140.1-121406</a>",208.586667,-12.479917,G,18987,0.063334,SUN,6,0,52,8,2,2,0,0,1,0
14,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0172</a>",163.600833,-11.771667,GClstr,209285,0.698100,UUN,47,0,0,8,11,0,0,0,0,0
15,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0188</a>",164.789583,-12.887500,GClstr,136825,0.456400,UUN,28,0,0,4,6,0,0,0,0,0
16,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0430</a>",180.679583,-12.408611,GClstr,146898,0.490000,SUN,25,0,0,3,5,0,0,0,0,0
17,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0057</a>",154.693333,-12.198056,GClstr,141922,0.473400,UUN,28,0,0,4,6,0,0,0,0,0
18,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0173</a>",163.681250,-12.764417,GClstr,224964,0.750400,UUN,49,0,0,8,10,0,0,0,0,0
19,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0198</a>",165.928750,-12.755000,GClstr,287201,0.958000,UUN,19,0,0,5,7,0,0,0,0,0
20,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0252</a>",169.818750,-11.492500,GClstr,188869,0.630000,SUN,18,0,0,3,5,0,0,0,0,0
21,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0275</a>",170.715417,-11.608333,GClstr,230840,0.770000,SUN,8,0,0,3,4,0,0,0,0,0
22,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0340</a>",174.542500,-11.560528,GClstr,143810,0.479700,UUN,43,0,0,7,9,0,0,0,0,0
23,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0504</a>",184.188750,-12.021556,GClstr,238005,0.793900,UUN,59,0,0,11,13,0,0,0,0,0
24,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0531</a>",186.995417,-11.587083,GClstr,236836,0.790000,SUN,40,0,0,6,8,0,0,0,0,0
25,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0541</a>",188.126250,-12.843444,GClstr,162428,0.541800,UUN,44,0,0,6,8,0,0,0,0,0
26,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0567</a>",189.639583,-11.741111,GClstr,140902,0.470000,SUN,9,0,0,3,5,0,0,0,0,0
27,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0634</a>",195.417083,-11.656667,GClstr,144830,0.483100,UUN,28,0,0,5,7,0,0,0,0,0
28,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0849</a>",208.254167,-11.625278,GClstr,176278,0.588000,UUN,26,0,0,4,6,0,0,0,0,0
29,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0853</a>",208.540833,-12.517083,GClstr,227632,0.759300,UUN,44,0,0,8,10,0,0,0,0,0
30,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCDCS 0925</a>",212.766250,-11.806111,GClstr,155772,0.519600,UUN,27,0,0,4,6,0,0,0,0,0
31,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J111933.39-113138.7</a>",169.889125,-11.527444,G,20947,0.069873,PUN,3,0,47,5,1,2,0,0,1,0
32,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1040405-1155524</a>",160.168833,-11.931222,G,193516,0.645500,UUN,4,0,33,3,1,0,0,0,0,0
33,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1040407-1156015</a>",160.169375,-11.933750,G,210754,0.703000,UUN,9,0,27,2,1,0,0,0,0,0
34,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1040409-1153396</a>",160.170458,-11.894333,G,,,,3,0,26,2,0,0,0,0,0,0
35,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1040410-1155590</a>",160.170875,-11.933056,G,212223,0.707900,UUN,8,0,27,3,2,0,0,0,0,0
36,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1040411-1155431</a>",160.171333,-11.928639,G,210934,0.703600,UUN,4,0,17,1,1,0,0,0,0,0
37,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1040412-1155412</a>",160.171583,-11.928111,G,155562,0.518900,UUN,3,0,16,1,1,0,0,0,0,0
38,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J104041.95-115552.9</a>",160.174917,-11.931250,G,189109,0.630800,UUN,6,0,39,3,1,0,0,0,0,0
39,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1040422-1155366</a>",160.176000,-11.926833,*,,,,4,0,26,2,0,0,0,0,0,0
40,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1040444-1153150</a>",160.184833,-11.887500,*,,,,3,0,26,2,0,0,0,0,0,0
41,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1054237-1146107</a>",163.598708,-11.769639,G,208716,0.696200,UUN,8,0,26,2,1,0,0,0,0,0
42,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1054239-1146230</a>",163.599583,-11.773056,G,228742,0.763000,UUN,4,0,24,2,1,0,0,0,0,0
43,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J105424.36-114619.2</a>",163.601667,-11.772056,G,208805,0.696500,UUN,9,0,39,3,1,0,0,0,0,0
44,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1054245-1146139</a>",163.602250,-11.770528,G,209435,0.698600,UUN,5,0,26,2,1,0,0,0,0,0
45,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1054246-1146124</a>",163.602333,-11.770111,G,210784,0.703100,UUN,6,0,16,1,1,0,0,0,0,0
46,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1054247-1146238</a>",163.602833,-11.773278,G,209975,0.700400,UUN,6,0,26,2,1,0,0,0,0,0
47,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1054250-1146238</a>",163.604083,-11.773278,G,208895,0.696800,UUN,8,0,26,2,1,0,0,0,0,0
48,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1054437-1245323</a>",163.682042,-12.758972,G,225564,0.752400,UUN,4,0,27,2,1,0,0,0,0,0
49,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216445-1201075</a>",184.185542,-12.018750,G,237855,0.793400,UUN,3,0,17,2,2,0,0,0,0,0
50,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216446-1201089</a>",184.185792,-12.019139,G,239864,0.800100,UUN,10,0,18,2,2,0,0,0,0,0
51,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216447-1201282</a>",184.186250,-12.024500,G,235787,0.786500,UUN,9,0,18,3,2,0,0,0,0,0
52,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216447-1201234</a>",184.186333,-12.023167,G,238185,0.794500,UUN,7,0,18,2,2,0,0,0,0,0
53,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216448-1201309</a>",184.186833,-12.025250,G,239354,0.798400,UUN,7,0,28,3,2,0,0,0,0,0
54,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216449-1201203</a>",184.186958,-12.022306,G,240883,0.803500,UUN,10,0,28,3,2,0,0,0,0,0
55,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121645.21-120117.8</a>",184.188333,-12.021444,G,238485,0.795500,UUN,11,0,49,4,2,0,0,0,0,0
